team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2025,53,28,22,3,59,0.557,16,22,6,171,188,3.23,3.55,0,18.1,77.5,17.5,81.5,30.2,28.9,47.1
BOS,Boston Bruins,2025,54,31,20,3,65,0.602,23,29,2,178,167,3.3,3.09,2,26.9,77.8,23.7,78.8,27.0,29.7,51.9
BUF,Buffalo Sabres,2025,52,30,17,5,65,0.625,24,27,3,176,159,3.38,3.06,2,19.2,83.6,17.9,88.6,27.5,29.6,44.2
CGY,Calgary Flames,2025,52,21,25,6,48,0.462,17,19,2,130,154,2.5,2.96,2,15.8,83.7,14.6,88.2,28.8,29.0,49.2
CAR,Carolina Hurricanes,2025,52,32,15,5,69,0.663,23,28,4,176,147,3.38,2.83,2,21.3,80.3,18.8,84.4,32.1,24.3,50.4
CHI,Chicago Blackhawks,2025,53,21,23,9,51,0.481,16,18,3,141,163,2.66,3.08,4,19.9,85.5,17.9,88.0,25.1,29.5,47.3
COL,Colorado Avalanche,2025,51,35,7,9,79,0.775,32,34,1,199,122,3.9,2.39,5,15.9,84.4,11.2,85.1,34.6,26.7,51.2
CBJ,Columbus Blue Jackets,2025,52,25,20,7,57,0.548,16,20,5,158,171,3.04,3.29,1,19.4,76.2,17.8,78.2,30.3,30.6,50.7
DAL,Dallas Stars,2025,53,30,14,9,69,0.651,26,27,3,173,144,3.26,2.72,3,29.9,79.9,27.3,81.7,25.3,27.4,52.0
DET,Detroit Red Wings,2025,54,32,17,5,69,0.639,22,30,2,166,160,3.07,2.96,3,24.1,79.0,21.2,79.7,28.5,28.1,51.2
EDM,Edmonton Oilers,2025,54,27,19,8,62,0.574,21,27,0,186,172,3.44,3.19,4,31.8,79.3,29.8,82.7,29.5,27.2,52.3
FLA,Florida Panthers,2025,52,28,21,3,59,0.567,23,25,3,157,168,3.02,3.23,3,18.2,82.5,15.0,84.7,28.9,25.8,47.3
LAK,Los Angeles Kings,2025,51,22,16,13,57,0.559,14,18,4,133,138,2.61,2.71,3,15.6,77.8,12.3,82.0,27.7,27.1,48.6
MIN,Minnesota Wild,2025,54,30,14,10,70,0.648,19,26,4,171,154,3.17,2.85,7,24.0,77.1,22.9,80.0,28.8,29.8,46.4
MTL,Montréal Canadiens,2025,53,29,17,7,65,0.613,18,27,2,178,173,3.36,3.26,1,23.2,76.9,21.3,79.2,26.2,27.0,50.1
NSH,Nashville Predators,2025,52,24,23,5,53,0.51,17,21,3,147,177,2.83,3.4,0,21.0,80.6,21.0,83.2,28.2,28.9,51.5
NJD,New Jersey Devils,2025,53,27,24,2,56,0.528,18,24,3,138,163,2.6,3.08,1,22.7,79.3,22.0,82.2,29.5,27.9,50.4
NYI,New York Islanders,2025,53,29,19,5,63,0.594,20,25,4,151,143,2.85,2.7,8,16.7,82.3,13.6,87.1,27.8,27.8,51.8
NYR,New York Rangers,2025,54,22,26,6,50,0.463,14,20,2,143,170,2.65,3.15,2,22.6,79.1,16.5,81.0,25.8,28.6,54.4
OTT,Ottawa Senators,2025,53,25,21,7,57,0.538,20,22,3,176,176,3.32,3.32,1,22.4,72.2,20.1,74.1,28.4,24.9,55.2
PHI,Philadelphia Flyers,2025,52,24,19,9,57,0.548,17,19,5,152,164,2.92,3.15,0,15.1,78.4,11.8,81.4,25.8,25.7,49.2
PIT,Pittsburgh Penguins,2025,51,26,14,11,63,0.618,22,25,1,168,145,3.29,2.84,3,27.4,83.6,23.0,84.9,28.7,27.6,50.5
SJS,San Jose Sharks,2025,51,27,21,3,57,0.559,16,25,2,159,175,3.12,3.43,0,20.9,77.7,17.5,79.0,25.6,30.4,47.7
SEA,Seattle Kraken,2025,52,24,19,9,57,0.548,18,23,1,147,151,2.83,2.9,2,22.5,71.9,17.9,72.6,25.5,29.2,47.3
STL,St. Louis Blues,2025,53,19,25,9,47,0.443,18,18,1,129,180,2.43,3.4,5,16.9,73.9,15.5,77.5,24.8,27.9,50.1
TBL,Tampa Bay Lightning,2025,51,33,14,4,70,0.686,26,30,3,176,128,3.45,2.51,2,21.4,84.4,19.5,86.3,27.5,26.1,46.6
TOR,Toronto Maple Leafs,2025,53,24,20,9,57,0.538,17,24,0,174,182,3.28,3.43,3,17.2,83.2,14.1,85.4,27.1,31.8,56.5
UTA,Utah Mammoth,2025,53,28,21,4,60,0.566,21,28,0,167,146,3.15,2.75,1,15.2,80.0,15.2,83.1,28.3,25.7,49.2
VAN,Vancouver Canucks,2025,53,17,31,5,39,0.368,11,13,4,137,195,2.58,3.68,1,19.0,70.1,15.5,73.8,27.0,29.8,48.5
VGK,Vegas Golden Knights,2025,52,25,14,13,63,0.606,18,24,1,172,159,3.31,3.06,2,25.5,81.1,22.3,82.0,29.0,24.8,50.7
WSH,Washington Capitals,2025,54,25,22,7,57,0.528,22,25,0,171,159,3.17,2.94,3,16.9,77.7,13.1,78.3,29.1,28.6,49.7
WPG,Winnipeg Jets,2025,52,21,24,7,49,0.471,19,20,1,152,159,2.92,3.06,0,19.6,79.1,18.2,82.3,26.2,27.9,50.6
